titleId;ordering;title;region;language;types;attributes;isOriginalTitle;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes;pais
tt5562070;1;Wish Dragon;\N;\N;original;\N;1;tt5562070;movie;Wish Dragon;Wish Dragon;0;2021;\N;98;Adventure,Animation,Comedy;7.2;36704;China, Estados Unidos da América, Tailândia, República Tcheca
tt5580036;1;I, Tonya;\N;\N;original;\N;1;tt5580036;movie;I, Tonya;I, Tonya;0;2017;\N;119;Biography,Comedy,Drama;7.5;254549;Estados Unidos da América, Reino Unido, Catar
tt5580266;1;The Hate U Give;\N;\N;original;\N;1;tt5580266;movie;The Hate U Give;The Hate U Give;0;2018;\N;133;Crime,Drama;7.5;42441;Estados Unidos da América
tt5580390;1;The Shape of Water;\N;\N;original;\N;1;tt5580390;movie;The Shape of Water;The Shape of Water;0;2017;\N;123;Drama,Fantasy,Romance;7.3;462519;Estados Unidos da América, México
tt5606664;1;Doctor Sleep;\N;\N;original;\N;1;tt5606664;movie;Doctor Sleep;Doctor Sleep;0;2019;\N;152;Drama,Fantasy,Horror;7.3;232944;Canadá, Estados Unidos da América
tt5607714;1;Teströl és lélekröl;\N;\N;original;\N;1;tt5607714;movie;On Body and Soul;Teströl és lélekröl;0;2017;\N;116;Drama,Fantasy,Mystery;7.5;30896;Hungria
tt5613484;1;Mid90s;\N;\N;original;\N;1;tt5613484;movie;Mid90s;Mid90s;0;2018;\N;85;Comedy,Drama;7.4;84217;Estados Unidos da América
tt5635086;1;God's Own Country;\N;\N;original;\N;1;tt5635086;movie;God's Own Country;God's Own Country;0;2017;\N;104;Drama,Romance;7.6;38626;Reino Unido
tt5648882;1;The Burial;\N;\N;original;\N;1;tt5648882;movie;The Burial;The Burial;0;2023;\N;126;Drama;7.1;40511;Estados Unidos da América
tt5649144;1;The Florida Project;\N;\N;original;\N;1;tt5649144;movie;The Florida Project;The Florida Project;0;2017;\N;111;Drama;7.6;141023;Estados Unidos da América
tt5657856;1;Brawl in Cell Block 99;\N;\N;original;\N;1;tt5657856;movie;Brawl in Cell Block 99;Brawl in Cell Block 99;0;2017;\N;132;Crime,Drama,Thriller;7.1;80918;Estados Unidos da América
tt5700672;1;Busanhaeng;\N;\N;original;\N;1;tt5700672;movie;Train to Busan;Busanhaeng;0;2016;\N;118;Action,Horror,Thriller;7.6;288335;Coreia do Sul
tt5715874;1;The Killing of a Sacred Deer;\N;\N;original;\N;1;tt5715874;movie;The Killing of a Sacred Deer;The Killing of a Sacred Deer;0;2017;\N;121;Drama,Horror,Mystery;7.0;205463;Irlanda, Reino Unido, Estados Unidos da América
tt5723272;1;Aus dem Nichts;\N;\N;original;\N;1;tt5723272;movie;In the Fade;Aus dem Nichts;0;2017;\N;106;Crime,Drama,Mystery;7.1;36889;Alemanha, França
tt5726616;1;Call Me by Your Name;\N;\N;original;\N;1;tt5726616;movie;Call Me by Your Name;Call Me by Your Name;0;2017;\N;132;Drama,Romance;7.8;342464;Brasil, França, Itália, Estados Unidos da América
tt5727208;1;Uncut Gems;\N;\N;original;\N;1;tt5727208;movie;Uncut Gems;Uncut Gems;0;2019;\N;135;Crime,Drama,Thriller;7.4;336963;Estados Unidos da América
tt5755238;1;Leo;\N;\N;original;\N;1;tt5755238;movie;Leo;Leo;0;2023;\N;102;Adventure,Animation,Comedy;7.0;43002;Austrália, Estados Unidos da América
tt5776858;1;Phantom Thread;\N;\N;original;\N;1;tt5776858;movie;Phantom Thread;Phantom Thread;0;2017;\N;130;Drama,Romance;7.4;152528;Estados Unidos da América, China
